taxonomy_id	lineage	sample1.bracken	sample2.bracken
1525	Bacteria;Terrabacteria group;Bacillota;Clostridia;Moorellales;Moorellaceae;Moorella;Moorella thermoacetica	0	1
96345	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium psychrophilum	0	2
1836467	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter;Maribacter hydrothermalis	0	2
3070659	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aestuariibaculum;Aestuariibaculum sp. YM273	0	3
1761453	Bacteria;FCB group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Euzebyella;Euzebyella marina	0	3
2898794	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;Spirosoma oryzicola	0	2
1211326	Bacteria;FCB group;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Spirosoma;Spirosoma aerolatum	0	1
2789740	Bacteria;FCB group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter endophyticus	0	1
2895286	Bacteria;FCB group;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter mucosus	0	1
674529	Bacteria;FCB group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis	0	1
661488	Bacteria;FCB group;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Pseudobacter;Pseudobacter ginsenosidimutans	0	1
107709	Bacteria;PVC group;Verrucomicrobiota;Opitutae;Opitutales;Opitutaceae;Opitutus;Opitutus terrae	0	1
1710539	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Natrinema;Natrinema zhouii	0	1
62320	Archaea;Euryarchaeota;Stenosarchaea group;Halobacteria;Natrialbales;Natrialbaceae;Haloterrigena;Haloterrigena turkmenica	0	1
